id,iaafId,firstName,lastName,countryCode,countryName,birthDate,performanceDate,competition,venueCountry,place,eventId,competitionId,timeResult
14815683,317282,Megertu,ALEMU,ETH,Ethiopia,1997-10-12,2024-04-21,"TCS London Marathon, London",GBR,4,10229534,7210829,2:16:34
14815683,317282,Megertu,ALEMU,ETH,Ethiopia,1997-10-12,2023-10-08,"Bank of America Chicago Marathon, Chicago, IL",USA,3,10229534,7191883,2:17:09
14815683,317282,Megertu,ALEMU,ETH,Ethiopia,1997-10-12,2022-10-02,"TCS London Marathon, London",GBR,3,10229534,7176624,2:18:32
14815683,317282,Megertu,ALEMU,ETH,Ethiopia,1997-10-12,2023-04-23,"TCS London Marathon, London",GBR,2,10229534,7191880,2:18:37
14815683,317282,Megertu,ALEMU,ETH,Ethiopia,1997-10-12,2022-02-20,"Zurich Maraton de Sevilla, Sevilla",ESP,1,10229534,7176628,2:18:51
14815683,317282,Megertu,ALEMU,ETH,Ethiopia,1997-10-12,2019-10-27,"Mainova Frankfurt Marathon, Frankfurt",GER,2,10229534,,2:21:10
14815683,317282,Megertu,ALEMU,ETH,Ethiopia,1997-10-12,2019-04-07,"Maratona Internazionale di Roma, Roma",ITA,1,10229534,7129465,2:22:52
14815683,317282,Megertu,ALEMU,ETH,Ethiopia,1997-10-12,2020-10-04,"Virgin Money London Marathon, London",GBR,5,10229534,7138848,2:24:23
14815683,317282,Megertu,ALEMU,ETH,Ethiopia,1997-10-12,2021-10-03,"Virgin Money London Marathon, London",GBR,13,10229534,7160158,2:27:18
14815683,317282,Megertu,ALEMU,ETH,Ethiopia,1997-10-12,2018-11-18,"Shanghai International Marathon, Shanghai",CHN,6,10229534,7124272,2:28:08
14388506,274951,Tigst,ASSEFA,ETH,Ethiopia,1996-12-03,2023-09-24,"BMW Berlin Marathon, Berlin",GER,1,10229534,7191882,2:11:53
14388506,274951,Tigst,ASSEFA,ETH,Ethiopia,1996-12-03,2022-09-25,"BMW Berlin Marathon, Berlin",GER,1,10229534,7176618,2:15:37
14388506,274951,Tigst,ASSEFA,ETH,Ethiopia,1996-12-03,2024-04-21,"TCS London Marathon, London",GBR,2,10229534,7210829,2:16:23
14388506,274951,Tigst,ASSEFA,ETH,Ethiopia,1996-12-03,2022-03-05,"Riyadh Marathon, Riyadh",KSA,7,10229534,7176630,2:34:01
14702490,300585,Li,BAI,CHN,Pr Of China,1996-03-30,2023-03-19,"Wuxi Marathon, Wuxi",CHN,1,10229534,7191895,2:26:33
14702490,300585,Li,BAI,CHN,Pr Of China,1996-03-30,2024-03-24,"Wuxi Marathon, Wuxi",CHN,8,10229534,7207353,2:28:17
14702490,300585,Li,BAI,CHN,Pr Of China,1996-03-30,2020-11-29,"Marathon & Chinese Marathon Championships, Nanjing",CHN,3,10229534,7158704,2:29:10
14702490,300585,Li,BAI,CHN,Pr Of China,1996-03-30,2021-04-11,"Chinese Marathon Championships, Xuzhou",CHN,2,10229534,7160084,2:29:12
14702490,300585,Li,BAI,CHN,Pr Of China,1996-03-30,2023-09-17,"Shenyang Marathon, Shenyang",CHN,1,10229534,7191946,2:31:50
14702490,300585,Li,BAI,CHN,Pr Of China,1996-03-30,2023-11-12,"Nanchang Marathon, Nanchang",CHN,4,10229534,7191959,2:34:16
14702490,300585,Li,BAI,CHN,Pr Of China,1996-03-30,2022-04-17,"""Exciting Hangzhou"" Marathon, Hangzhou",CHN,7,10229534,,2:35:44
